Accuracy,Fitness,No. Params
0.8628158844765343,0.880778519133574,231926
0.8592057761732852,0.8885566433212997,128874
0.8628158844765343,0.893132119133574,108390
0.8628158844765343,0.893132119133574,108390
0.8628158844765343,0.893132119133574,108390
0.8628158844765343,0.8981557191335741,58154
0.8628158844765343,0.8981557191335741,58154
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
0.8844765342960289,0.9119745740072203,71590
